ID_hecho,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,hrsUntilDisease
2016-0001,CONDUCTOR,MOTO,MASCULINO,19.0,2016-01-01 23:59:59.000000000,19.99972222222222
2016-0002,CONDUCTOR,AUTO,MASCULINO,70.0,2016-01-02 23:59:59.000000000,22.74972222222222
2016-0003,CONDUCTOR,MOTO,MASCULINO,30.0,2016-01-03 23:59:59.000000000,16.99972222222222
2016-0004,CONDUCTOR,MOTO,MASCULINO,18.0,2016-01-11 18:59:30.600924499,42.99183359013861
2016-0005,CONDUCTOR,MOTO,MASCULINO,29.0,2016-02-01 23:59:59.000000000,282.6663888888889
2016-0008,CONDUCTOR,MOTO,MASCULINO,30.0,2016-01-24 23:59:59.000000000,5.499722222222222
2016-0009,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29.0,2016-01-26 23:59:59.000000000,52.83305555555555
2016-0010,CONDUCTOR,MOTO,MASCULINO,18.0,2016-01-29 23:59:59.000000000,8.66638888888889
2016-0012,CONDUCTOR,MOTO,MASCULINO,22.0,2016-02-08 23:59:59.000000000,22.66638888888889
2016-0013,PEATON,PEATON,MASCULINO,16.0,2016-02-10 23:59:59.000000000,12.499722222222223
2016-0015,PEATON,PEATON,FEMENINO,16.0,2016-02-14 23:59:59.000000000,18.76638888888889
2016-0016,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19.0,2016-02-14 23:59:59.000000000,1.9997222222222222
2016-0017,PEATON,PEATON,MASCULINO,59.0,2016-02-16 23:59:59.000000000,31.099722222222223
2016-0019,PEATON,PEATON,FEMENINO,65.0,2016-02-17 23:59:59.000000000,14.499722222222223
2016-0020,PEATON,PEATON,MASCULINO,59.0,2016-03-02 23:59:59.000000000,343.9997222222222
2016-0021,CONDUCTOR,AUTO,MASCULINO,34.0,2016-02-17 23:59:59.000000000,0.41638888888888886
2016-0022,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41.0,2016-02-23 00:59:30.600924499,42.99183359013861
2016-0025,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,2016-02-28 23:59:59.000000000,19.16638888888889
2016-0026,CONDUCTOR,AUTO,MASCULINO,30.0,2016-03-04 23:59:59.000000000,136.49972222222223
2016-0027,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,2016-03-01 04:34:30.600924499,42.99183359013861
2016-0028,PEATON,PEATON,MASCULINO,50.0,2016-03-02 23:59:59.000000000,13.999722222222223
